類別：所有類別

週,感冒: (全球)
2012-05-06,56
2012-05-13,62
2012-05-20,68
2012-05-27,67
2012-06-03,62
2012-06-10,61
2012-06-17,57
2012-06-24,58
2012-07-01,61
2012-07-08,65
2012-07-15,67
2012-07-22,100
2012-07-29,65
2012-08-05,64
2012-08-12,67
2012-08-19,47
2012-08-26,37
2012-09-02,34
2012-09-09,34
2012-09-16,41
2012-09-23,38
2012-09-30,38
2012-10-07,40
2012-10-14,41
2012-10-21,40
2012-10-28,36
2012-11-04,38
2012-11-11,36
2012-11-18,39
2012-11-25,40
2012-12-02,41
2012-12-09,44
2012-12-16,47
2012-12-23,53
2012-12-30,51
2013-01-06,51
2013-01-13,53
2013-01-20,48
2013-01-27,44
2013-02-03,39
2013-02-10,38
2013-02-17,41
2013-02-24,37
2013-03-03,43
2013-03-10,41
2013-03-17,41
2013-03-24,44
2013-03-31,43
2013-04-07,47
2013-04-14,43
2013-04-21,40
2013-04-28,38
2013-05-05,38
2013-05-12,32
2013-05-19,30
2013-05-26,29
2013-06-02,32
2013-06-09,30
2013-06-16,29
2013-06-23,28
2013-06-30,29
2013-07-07,32
2013-07-14,31
2013-07-21,34
2013-07-28,35
2013-08-04,35
2013-08-11,39
2013-08-18,34
2013-08-25,32
2013-09-01,37
2013-09-08,36
2013-09-15,39
2013-09-22,42
2013-09-29,43
2013-10-06,45
2013-10-13,45
2013-10-20,45
2013-10-27,49
2013-11-03,44
2013-11-10,43
2013-11-17,48
2013-11-24,49
2013-12-01,55
2013-12-08,53
2013-12-15,54
2013-12-22,65
2013-12-29,72
2014-01-05,68
2014-01-12,60
2014-01-19,58
2014-01-26,48
2014-02-02,50
2014-02-09,49
2014-02-16,45
2014-02-23,45
2014-03-02,48
2014-03-09,49
2014-03-16,48
2014-03-23,47
2014-03-30,41
2014-04-06,44
2014-04-13,41
2014-04-20,43
2014-04-27,40
2014-05-04,42
2014-05-11,39
2014-05-18,37
2014-05-25,36
2014-06-01,25
2014-06-08,26
2014-06-15,24
2014-06-22,20
2014-06-29,20
2014-07-06,21
2014-07-13,23
2014-07-20,21
2014-07-27,19
2014-08-03,21
2014-08-10,22
2014-08-17,23
2014-08-24,22
2014-08-31,21
2014-09-07,23
2014-09-14,26
2014-09-21,25
2014-09-28,27
2014-10-05,30
2014-10-12,31
2014-10-19,29
2014-10-26,30
2014-11-02,30
2014-11-09,30
2014-11-16,34
2014-11-23,31
2014-11-30,36
2014-12-07,37
2014-12-14,41
2014-12-21,43
2014-12-28,44
2015-01-04,45
2015-01-11,42
2015-01-18,42
2015-01-25,41
2015-02-01,41
2015-02-08,37
2015-02-15,32
2015-02-22,35
2015-03-01,35
2015-03-08,35
2015-03-15,34
2015-03-22,37
2015-03-29,32
2015-04-05,35
2015-04-12,35
2015-04-19,33
2015-04-26,30
2015-05-03,29
2015-05-10,31
2015-05-17,31
2015-05-24,30
2015-05-31,32
2015-06-07,31
2015-06-14,30
2015-06-21,31
2015-06-28,27
2015-07-05,25
2015-07-12,24
2015-07-19,24
2015-07-26,25
2015-08-02,24
2015-08-09,25
2015-08-16,25
2015-08-23,27
2015-08-30,27
2015-09-06,33
2015-09-13,34
2015-09-20,35
2015-09-27,33
2015-10-04,36
2015-10-11,40
2015-10-18,39
2015-10-25,35
2015-11-01,37
2015-11-08,35
2015-11-15,39
2015-11-22,39
2015-11-29,41
2015-12-06,41
2015-12-13,44
2015-12-20,46
2015-12-27,46
2016-01-03,46
2016-01-10,43
2016-01-17,43
2016-01-24,48
2016-01-31,50
2016-02-07,50
2016-02-14,66
2016-02-21,63
2016-02-28,57
2016-03-06,53
2016-03-13,51
2016-03-20,50
2016-03-27,49
2016-04-03,42
2016-04-10,40
2016-04-17,38
2016-04-24,36
2016-05-01,36
2016-05-08,36
2016-05-15,36
2016-05-22,32
2016-05-29,31
2016-06-05,29
2016-06-12,29
2016-06-19,30
2016-06-26,28
2016-07-03,30
2016-07-10,29
2016-07-17,31
2016-07-24,32
2016-07-31,30
2016-08-07,29
2016-08-14,30
2016-08-21,32
2016-08-28,32
2016-09-04,32
2016-09-11,34
2016-09-18,37
2016-09-25,36
2016-10-02,38
2016-10-09,43
2016-10-16,39
2016-10-23,41
2016-10-30,46
2016-11-06,47
2016-11-13,46
2016-11-20,46
2016-11-27,49
2016-12-04,46
2016-12-11,49
2016-12-18,52
2016-12-25,52
2017-01-01,51
2017-01-08,47
2017-01-15,45
2017-01-22,42
2017-01-29,48
2017-02-05,52
2017-02-12,48
2017-02-19,45
2017-02-26,47
2017-03-05,47
2017-03-12,45
2017-03-19,44
2017-03-26,45
2017-04-02,47
2017-04-09,42
2017-04-16,38
2017-04-23,42
